Citations,Author,Year,Form,In References,et_al syntax
"(Li, 2020)",Li ,2020,end,0,n/a
"(Moşteanu, 2020)",Moşteanu ,2020,end,0,n/a
"(Khan et al., 2022)",Khan et al. ,2022,end,1,✔
Suman (2021),Suman ,2021,in text,0,n/a
Patel (2020),Patel ,2020,in text,0,n/a
Patriarca (2020),Patriarca ,2020,in text,0,n/a
Shen (2022),Shen ,2022,in text,0,n/a
Gudergan (2020),Gudergan ,2020,in text,0,n/a
Bošnjak (2019),Bošnjak ,2019,in text,0,n/a
Lobschat (2021),Lobschat ,2021,in text,0,n/a
Anon (2022),Anon ,2022,in text,0,n/a
Company (2018),Company ,2018,in text,0,n/a
McKinsey & Company (2018),McKinsey & Company ,2018,in text,0,n/a
