Refextracted_Author_String,Harvard_Author_Format
"Smith J, 2020","Smith, J. (2020)"
"Johnson R & White K, 2019","Johnson, R. & White, K. (2019)"
Lee C et al 2018,"Lee, C. et al. (2018)"
"Green L, Brown S, Black P, 2021","Green, L., Brown, S. & Black, P. (2021)"
"Miller T. et al, 2022","Miller, T. et al. (2022)"
Davis A 2017,"Davis, A. (2017)"
Wilson E & Taylor H 2020,"Wilson, E. & Taylor, H. (2020)"
Thompson S et al. 2019,"Thompson, S. et al. (2019)"
Anderson J 2018,"Anderson, J. (2018)"
Murphy F and Newman G 2021,"Murphy, F. & Newman, G. (2021)"
"King R et al, 2017","King, R. et al. (2017)"
Phillips L 2020,"Phillips, L. (2020)"
Carter N & Lee M 2018,"Carter, N. & Lee, M. (2018)"
"Edwards C et al, 2020","Edwards, C. et al. (2020)"
"Baker T, James P, Khan Y 2022","Baker, T., James, P. & Khan, Y. (2022)"
Adams V 2019,"Adams, V. (2019)"
"Hall D and Evans T, 2018","Hall, D. & Evans, T. (2018)"
Morgan B et al. 2019,"Morgan, B. et al. (2019)"
Clarke G 2021,"Clarke, G. (2021)"
Ellis S & Martin J 2017,"Ellis, S. & Martin, J. (2017)"
"Turner N et al., 2022","Turner, N. et al. (2022)"
Jordan C 2018,"Jordan, C. (2018)"
Fisher L and Kelly W 2020,"Fisher, L. & Kelly, W. (2020)"
"Gray R et al, 2019","Gray, R. et al. (2019)"
Hughes M 2021,"Hughes, M. (2021)"
Roberts D & Cox F 2018,"Roberts, D. & Cox, F. (2018)"
"Wright T et al., 2020","Wright, T. et al. (2020)"
Bennett S 2019,"Bennett, S. (2019)"
"Moore H and Perry I, 2021","Moore, H. & Perry, I. (2021)"
Mason C et al. 2017,"Mason, C. et al. (2017)"
Reed N 2020,"Reed, N. (2020)"
Cook P & Butler S 2018,"Cook, P. & Butler, S. (2018)"
"Bailey T et al., 2019","Bailey, T. et al. (2019)"
Foster L 2021,"Foster, L. (2021)"
Spencer J & Murray K 2017,"Spencer, J. & Murray, K. (2017)"
"Gardner W et al., 2022","Gardner, W. et al. (2022)"
Nichols H 2018,"Nichols, H. (2018)"
Dixon R and Lopez V 2020,"Dixon, R. & Lopez, V. (2020)"
"Newman G et al, 2019","Newman, G. et al. (2019)"
Elliott C 2021,"Elliott, C. (2021)"
Russell T & Hughes B 2017,"Russell, T. & Hughes, B. (2017)"
"Austin K et al., 2020","Austin, K. et al. (2020)"
Webb M 2019,"Webb, M. (2019)"
"Riley P and Howard L, 2021","Riley, P. & Howard, L. (2021)"
Franklin J et al. 2017,"Franklin, J. et al. (2017)"
Zimmerman A 2020,"Zimmerman, A. (2020)"
Lawrence N & Gibson R 2018,"Lawrence, N. & Gibson, R. (2018)"
"McCormick E et al., 2019","McCormick, E. et al. (2019)"
Wallace G 2021,"Wallace, G. (2021)"
Buchanan T & Norton S 2017,"Buchanan, T. & Norton, S. (2017)"
"Fletcher J et al., 2022","Fletcher, J. et al. (2022)"
Dunn K 2018,"Dunn, K. (2018)"
Burton L and Franklin M 2020,"Burton, L. & Franklin, M. (2020)"
"Potter S et al, 2019","Potter, S. et al. (2019)"
Chase N 2021,"Chase, N. (2021)"
Coleman D & Andrews Q 2018,"Coleman, D. & Andrews, Q. (2018)"
"Andrews P, 2022","Andrews, P. (2022)"
"Burns S. & Harris A., 2018","Burns, S. & Harris, A. (2018)"
Cartwright J et al 2021,"Cartwright, J. et al. (2021)"
"Dean T, Ford W, Grant G, 2020","Dean, T., Ford, W. & Grant, G. (2020)"
"Edwards V. et al, 2023","Edwards, V. et al. (2023)"
Fisher A 2017,"Fisher, A. (2017)"
Grimes E & Hall T 2019,"Grimes, E. & Hall, T. (2019)"
Howard K et al. 2022,"Howard, K. et al. (2022)"
Ingram L 2018,"Ingram, L. (2018)"
Jackson M and Klein N 2021,"Jackson, M. & Klein, N. (2021)"
"Knight R et al, 2017","Knight, R. et al. (2017)"
Lloyd C 2020,"Lloyd, C. (2020)"
Mason D & Noble P 2018,"Mason, D. & Noble, P. (2018)"
"Norton F et al., 2019","Norton, F. et al. (2019)"
Osborne G 2021,"Osborne, G. (2021)"
Patton J & Quinn S 2017,"Patton, J. & Quinn, S. (2017)"
